station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min
67009,Antsiranana,1982-10-22,Spring,26.8,22.2,31.8,0.0,,,,,,
54342,Fushun,1988-04-27,Spring,19.6,12.1,27.5,0.0,,,,,,
33946,Simferopol,1998-03-25,Spring,-0.9,-4.9,1.8,8.6,180.0,,,,,
35229,Aktobe,1910-12-15,Winter,-6.1,-7.8,,1.0,,,,,,
76843,Tuxtla Gutiérrez,1986-09-02,Autumn,22.6,,30.3,0.0,,,,,,
82098,Macapá,2020-02-09,Winter,25.8,9.4,30.0,31.0,,34.0,8.8,,1013.1,
29477,Krasnoyarsk,1982-01-15,Winter,-37.3,,,0.0,109.0,,,,,
36177,Semey,1981-10-20,Autumn,-1.2,-6.4,6.8,0.0,,,,,,
41883,Jamalpur District,1992-08-31,Summer,30.8,27.4,33.5,0.0,,,,,,
87828,Rawson,1957-07-05,Winter,14.0,,,,,,,,,
33837,Odessa,1964-04-08,Spring,6.8,3.7,10.1,0.0,,,,,,
40405,Buraidah,1975-06-08,Summer,32.7,,39.0,,,,,,,
12942,Pécs,1994-02-28,Winter,11.1,7.7,15.2,0.0,,,,,,
72219,Atlanta,1997-01-21,Winter,13.3,5.0,21.1,0.0,0.0,,6.1,,1026.0,554.0
48601,George Town,1999-12-10,Winter,27.4,24.7,30.9,0.0,,,,,,
38954,Fayzabad,1916-03-02,Spring,-0.1,-5.9,6.0,0.0,,,,,,
34560,Volgograd,1953-10-18,Autumn,6.7,0.2,14.4,0.0,,,,,,
15420,Bucharest,2017-05-29,Spring,19.8,9.9,26.2,0.0,,331.0,4.3,,1020.1,
67633,Mongu,2021-01-08,Summer,22.7,19.5,26.8,1.9,,13.0,9.5,,1009.5,
34123,Voronezh,1934-07-31,Summer,16.5,11.8,19.0,1.1,,,,,,
47807,Fukuoka,1998-09-21,Autumn,27.9,25.4,33.6,,,,,,,
96253,Bengkulu,2007-05-05,Autumn,28.1,,31.9,,,,,,,
64456,Owando,2013-07-30,Winter,25.7,,,,,,,,,
84691,Ica,2001-02-16,Summer,24.4,20.2,29.4,,,,,,,
07761,Ajaccio,1996-02-10,Winter,8.1,2.9,13.7,0.0,,,,,,
53614,Yinchuan,1959-06-08,Summer,18.7,15.7,24.6,18.3,,,,,,
65562,Dimbokro,1989-09-30,Autumn,25.2,,30.4,0.0,,,,,,
80472,Valencia,2010-07-01,Summer,28.3,,,,,,,,,
